nombre,codigo_maestro,proveedor,articulos,con_stock,pais_maestro
TUBRICA,NVD,TUBERIAS RIGIDAS DE PVC C.A.,630,357,Venezuela
WEQUP,SAF,"DISTRIBUIDORA SANIFER, C.A",255,209,Venezuela
BEST VALUE,BES,CACO ABBO INTERNACIONAL S.A.,245,159,Panama
RALI,MEC,COMERCIAL RALI S.A.,232,182,Panama
CODIRE,COD,"CODIRE, C.A",191,137,Venezuela
BELLOTA,0B9,BAMERICA CORPORATION,188,143,Colombia
HIERRO NACIONAL,ACL,"ACEROS LAMINADOS, C.A.",185,124,Venezuela
CA MEJIA,CAM,BAMERICA CORPORATION,132,74,Colombia
REINCO,REE,REPRESENTANTES E INDUSTRIALES CONSORCIADOS C.A.,125,105,Venezuela
ICONEL,014,ALCAVE VENEZUELA C.A.,122,91,Venezuela
STANLEY,214,NINGBO TRADING INTERNATIONAL CORP. LTD,118,53,Venezuela
METALES ALEADOS,MET,METALES ALEADOS C.A.,110,79,Venezuela
SHIMAHA,LIB,LISBETH DEL CARMEN PARRA BUITRAGO,107,19,Venezuela
MANPICA,MAE,MANPICA C A,104,89,Venezuela
RCA,223,LATIN TRADING CO. S.A,99,87,China
MZL,AST,"MERCANTIL ZONA LIBRE, S.A",94,74,Venezuela
BOSCH,BAM,BAMERICA CORPORATION,92,45,Panama
SEMILIC,SEM,"GRUPO FZ, C.A.",85,73,Venezuela
FAPLAST,FPT,"FABRICA DE PLASTICOS, C.A.",83,83,Venezuela
VENCERAMICA,V91,COMPAÑIA VENEZOLANA DE CERAMICA C.A.,81,67,Venezuela
BTICINO,BRK,BAMERICA CORPORATION,81,74,Colombia
WORLD SAFETY,WST,"INDUSTRIAS WORLD SAFETY DE VENEZUELA, C.A",80,33,Venezuela
SQ,0SQ,"SPRAY QUIMICA, C.A.",76,54,Venezuela
FP,018,FUNDICION PACIFICO C.A.,73,68,Venezuela
SUPLA,SPA,"SUPLAVEN, C.A",73,50,Venezuela
BOSCH ACCESORIOS,BAM,BAMERICA CORPORATION,73,23,Panama
3M,ELI,BAMERICA CORPORATION,72,51,Venezuela
INNACO,NNA,"INDUSTRIA NACIONAL DE CONEXIONES, C.A.",65,49,Venezuela
